Term Locale,Term Category,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,Case Sensitive
en-US,Geopolitcal - Acts,Graham Leach Bliley,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Gramm Leach Bliley,1998,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Gramm Leach Bliley,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Gramm Leach Bliley Financial Modernization,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Gramm Leach Bliley Financial Services Modernization,1999,,,FALSE
en-US,Geopolitcal - Acts,Great Lakes Critical Programs,1990,,,FALSE
en-US,Geopolitcal - Acts,Gulf Opportunity Zone,2005,,,FALSE
en-US,Geopolitcal - Acts,Hart Scott Rodino Antitrust Improvement,1976,Hart Scott Rodino Antitrust Improvements,1976,FALSE
en-US,Geopolitcal - Acts,Hart Scott Rodino Antitrust Improvements,1976,,,FALSE
en-US,Geopolitcal - Acts,Hatch Waxman,1984,Drug Price Competition and Patent Term Restoration,1984,FALSE
en-US,Geopolitcal - Acts,Hazardous Liquid Pipeline Safety,1979,,,FALSE
en-US,Geopolitcal - Acts,Hazardous Materials Transportation,1975,,,FALSE
en-US,Geopolitcal - Acts,Hazardous Materials Transportation Authorization,1994,,,FALSE
en-US,Geopolitcal - Acts,Health Care And Education Reconciliation,2010,,,FALSE
en-US,Geopolitcal - Acts,Health Information Technology for Economic and Clinical Health,2009,American Recovery And Reinvestment,2009,FALSE
en-US,Geopolitcal - Acts,Health Insurance Portability And Accountability,1996,,,FALSE
en-US,Geopolitcal - Acts,Health Maintenance Organization,1973,,,FALSE
en-US,Geopolitcal - Acts,Health Security,1993,,,FALSE
en-US,Geopolitcal - Acts,Helping Families Save Their Homes Act,2009,,,FALSE
en-US,Geopolitcal - Acts,Heroes Earnings Assistance And Relief Tax,2008,,,FALSE
en-US,Geopolitcal - Acts,Higher Education,1965,,,FALSE
en-US,Geopolitcal - Acts,Highway Safety,1970,,,FALSE
en-US,Geopolitcal - Acts,Hipa,1996,Health Insurance Portability And Accountability,1996,FALSE
en-US,Geopolitcal - Acts,Hmo,1973,Health Maintenance Organization,1973,FALSE
en-US,Geopolitcal - Acts,Home Mortgage Disclosure,1975,,,FALSE
en-US,Geopolitcal - Acts,Home Owners' Loan,1933,,,FALSE
en-US,Geopolitcal - Acts,Home Ownership And Equity Protection,1994,,,FALSE
en-US,Geopolitcal - Acts,Homeland Investment,2004,,,FALSE
en-US,Geopolitcal - Acts,Homeland Security,2002,,,FALSE
en-US,Geopolitcal - Acts,Household Goods Transportation,1980,,,FALSE
en-US,Geopolitcal - Acts,Housing And Community Development,1974,,,FALSE
en-US,Geopolitcal - Acts,Housing And Economic Recovery,2008,,,FALSE
en-US,Geopolitcal - Acts,Housing Assistance Tax,2008,,,FALSE
en-US,Geopolitcal - Acts,Housing Opportunity Program Extension,1996,,,FALSE
en-US,Geopolitcal - Acts,Hsr,1976,Hart Scott Rodino Antitrust Improvements,1976,FALSE
en-US,Geopolitcal - Acts,Icc Termination,1995,Interstate Commerce Commission Termination,1995,FALSE
en-US,Geopolitcal - Acts,Ilsa,1968,Interstate Land Sales Full Disclosure,1968,FALSE
en-US,Geopolitcal - Acts,Ilsfda,1968,Interstate Land Sales Full Disclosure,1968,FALSE
en-US,Geopolitcal - Acts,Immigration Reform And Control,1986,,,FALSE
en-US,Geopolitcal - Acts,Indian Gaming Regulatory,1988,,,FALSE
