Term Locale,Term Category,Term,CaseSensitive,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Chief Inspector of Borders and Immigration,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Commission for Aid Impact,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Commission on Freedom of Information,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Complaints Reviewer,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Dormant Assets Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Family Returns Panel,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Medical Expert Group,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Monitoring Boards,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Parliamentary Standards Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Courts and Tribunals Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
