Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Geopolitical - Courts,109,Federal,Federal,Federal Court,Patent Trial and Appeal Board,PTAB
en-US,Geopolitical - Courts,110,Federal,Federal,Federal Court,United States Court of International Trade,Ct. Intl. Trade; Court of International Trade
en-US,Geopolitical - Courts,111,Federal,Federal,Federal Court,United States Court of Federal Claims,Fed Cl.; Court of Federal Claims
en-US,Geopolitical - Courts,112,Federal,Federal,Federal Court,Unnited States Foreign Intelligence Surveillance Court,
en-US,Geopolitical - Courts,113,Federal,Federal,Federal Court,Trademark Trial and Appeal Board,TTAB
en-US,Geopolitical - Courts,114,Federal,Federal,Federal Court,United States Merit Systems Protection Board,USMSRB
en-US,Geopolitical - Courts,115,Federal,Federal,Federal Court,United States Alien Terrorist Removal Court,USATRC
en-US,Geopolitical - Courts,116,Federal,Federal,Federal Court,International Trade Commission,ITC
en-US,Geopolitical - Courts,117,Federal,Federal,Federal Court,United States Court of Appeals for the Federal Circuit,Federal Circuit; Fed. Cir.;C.A.F.C.; CAFC
en-US,Geopolitical - Courts,118,Federal,Federal,Federal Court,United States Court of Appeals for the Armed Forces,CAAF; Armed Forces App
en-US,Geopolitical - Courts,119,Federal,Federal,Federal Court,United States Army Court of Criminal Appeals,ACCA; Army Crim. App.
en-US,Geopolitical - Courts,120,Federal,Federal,Federal Court,Navy-Marine Corps Court of Criminal Appeals,NMCCA; Navy-Marine Crim. App.
en-US,Geopolitical - Courts,121,Federal,Federal,Federal Court,Air Force Court of Criminal Appeals,AFCCA; A.F. Crim. App.
en-US,Geopolitical - Courts,122,Federal,Federal,Federal Court,Coast Guard Court of Criminal Appeals,Coast Guard Crim. App
en-US,Geopolitical - Courts,123,Federal,Federal,Federal Court,United States Court of Appeals for Veterans Claims,Vet. App.
en-US,Geopolitical - Courts,124,Federal,Federal,Federal Court,United States Foreign Intelligence Surveillance Court of Review,
en-US,Geopolitical - Courts,125,Federal,Federal,Federal Court,United States Court of Military Commission Review,
en-US,Geopolitical - Courts,126,Federal,Federal,Federal Court,Civilian Board of Contract Appeals,CBCA
en-US,Geopolitical - Courts,127,Federal,Federal,Federal Court,Armed Services Board of Contract Appeals,ASBCA
en-US,Geopolitical - Courts,128,Federal,Federal,Federal Court,Postal Service Board of Contract Appeals,PSBCA
en-US,Geopolitical - Courts,129,Federal,Federal,Federal Court,Office of Dispute Resolution for Acquisition,ODRA
en-US,Geopolitical - Courts,130,Federal,Federal,Federal Court,Board of Immigration Appeals,BIA
en-US,Geopolitical - Courts,131,Federal,Federal,Federal Court,Board of Veterans' Appeals,BVA
